city,state,latitude,longitude
Abilene,TX,32.4503,-99.7331
Abington,PA,40.1109,-75.1107
Adamstown,MD,39.3248,-77.4986
Addison,IL,41.9303,-88.0095
Afton,MN,44.9008,-92.7755
Agoura Hills,CA,34.1533,-118.7612
Aiea,HI,21.3875,-157.9308
Aiken,SC,33.5604,-81.7208
Akron,OH,41.0814,-81.5190
Alameda,CA,37.7652,-122.2416
Alamo,CA,37.8466,-122.0316
Albany,CA,37.8868,-122.2977
Albany,NY,42.6526,-73.7562
Albertville,MN,45.2105,-93.6822
Albuquerque,NM,35.0844,-106.6504
Alexandria,MN,45.8891,-95.3809
Alexandria,VA,38.8048,-77.0469
Algonquinn,IL,42.1667,-88.2840
Alhambra,CA,34.0953,-118.1278
Aliquippa,PA,40.5917,-80.2706
Aliso Viejo,CA,33.5670,-117.7256
Allegany,NY,42.0795,-78.4842
Allendale,MI,42.9600,-85.9400
Allentown,PA,40.6084,-75.4902
Alliance,NE,42.1094,-102.8049
Alpharetta,GA,34.0753,-84.2978
Alpine,UT,40.4666,-111.7702
Alpine Meadows,CA,39.1760,-120.2399
Alta,WY,43.7500,-111.0000
Alta Loma,CA,34.1489,-117.6189
Altadena,CA,34.1894,-118.1337
Amery,WI,45.3136,-92.3666
Ames,IA,42.0347,-93.6199
Amherst,MA,42.3732,-72.5199
Amityville,NY,40.6793,-73.4165
Anaheim,CA,33.8366,-117.9143
Anaheim Hills,CA,33.8706,-117.7567
Anchorage,AK,61.2181,-149.9003
Anderson,CA,40.4571,-122.3061
Andover,MA,42.6584,-71.1356
Andover,MN,45.2344,-93.2977
Andover,NH,43.4151,-71.8606
Ann Arbor,MI,42.2808,-83.743
Anna Maria,FL,27.5253,-82.7398
Annandale,VA,38.834,-77.1997
Annapolis,MD,38.9784,-76.4922
Anniston,AL,33.6596,-85.8375
Ansonia,CT,41.3404,-73.079
Antioch,CA,37.9958,-121.9708
Apex,NC,35.7315,-78.85
Apollo Beach,FL,27.7606,-82.4009
Apopka,FL,28.6775,-81.5112
Apple Valley,CA,34.5,-117.19
Appleton,WI,44.2619,-88.415
Arcadia,CA,34.1397,-118.0353
Arden Hills,MN,45.0594,-93.1519
Ardmore,OK,34.1732,-97.1306
Arlington,MA,42.4168,-71.1562
Arlington,TN,35.2606,-89.667
Arlington,TX,32.7357,-97.1081
Arlington,VA,38.8810,-77.0940
Arlington,WA,48.1709,-122.1287
Arnold,MD,39.0207,-76.5097
Arroyo Grande,CA,35.1208,-120.5857
Arvada,CO,39.8028,-105.0875
Ashburn,VA,39.0062,-77.4875
Asheville,NC,35.5951,-82.5515
Ashland,OR,42.1940,-122.7094
Aspen,CO,39.1911,-106.8175
Athens,GA,33.9519,-83.3576
Athens,TX,32.1979,-95.8541
Atherton,CA,37.4616,-122.2008
Atlanta,GA,33.7488,-84.3877
Atlantic Beach,FL,30.3347,-81.3912
Atlantic Highlands,NJ,40.4304,-74.0385
Auburn,AL,32.6099,-85.4808
Auburn,CA,38.9332,-121.0761
Auburn,IN,41.3620,-85.0572
Auburn,WA,47.3076,-122.2287
Audubon,PA,40.1087,-75.4485
Aurora,CO,39.7294,-104.8319
Aurora,IL,41.7598,-88.3006
Aurora,OR,45.2287,-122.7404
Austin,TX,30.2672,-97.7431
Avenel,NJ,40.5734,-74.2882
Avon,CT,41.8084,-72.8426
Avondale,AZ,33.4353,-112.3488
Bagdad,FL,30.5644,-87.0508
Bainbridge,GA,30.9035,-84.5755
Bakersfield,CA,35.3733,-119.0187
Baltimore,MD,39.2904,-76.6122
Baltimore,"Md., MD",39.2904,-76.6122
Barrington,IL,42.1536,-88.1362
Barrington,RI,41.7276,-71.3006
Barron,WI,45.4055,-91.8535
Bartlett,IL,41.9964,-88.1906
Basalt,CO,39.3686,-107.0345
Basking Ridge,NJ,40.7026,-74.5563
Baton Rouge,LA,30.4515,-91.1871
Battle Ground,WA,45.7837,-122.5326
Bay City,MI,43.5945,-83.8886
Bayside,NY,40.7698,-73.7749
Beaufort,NC,34.7196,-76.6633
Beaumont,IN,38.0,-86.6
Beaverton,OR,45.4874,-122.8035
Bedford,NH,42.9606,-71.5167
Bel Air,MD,39.5376,-76.3527
Belgrade,MT,45.7749,-111.1777
Belle Mead,NJ,40.4637,-74.6546
Belleair Beach,FL,27.91,-82.8256
Belleair Bluffs,FL,27.9139,-82.8098
Belleville,IL,38.5206,-89.9834
Belleville,WI,42.8906,-89.539
Bellevue,WA,47.6104,-122.199
Bellflower,CA,33.8806,-118.117
Bellingham,WA,48.7594,-122.4787
Belmont,CA,37.5205,-122.275
Belmont,MA,42.3965,-71.1812
Bemidji,MN,47.4722,-94.8808
Bend,OR,44.0582,-121.3153
Bensalem,PA,40.0937,-74.9307
Benton,PA,41.2295,-76.2977
Berkeley,CA,37.8715,-122.2730
Berlin,NJ,39.7826,-74.9396
Bethel,ME,44.4090,-70.7956
Bethesda,MD,38.9847,-77.0947
Bethlehem,CT,41.6265,-73.2087
Bethlehem,PA,40.6251,-75.3700
Beverly Hills,MI,42.5403,-83.2427
Bexley,OH,39.9670,-82.9307
Big Bear Lake,CA,34.2436,-116.9114
Big Bend,WI,42.8906,-88.2209
Billings,MT,45.7832,-108.5007
Birmingham,AL,33.5207,-86.8025
Bismarck,ND,46.8083,-100.7837
Blacklick,OH,40.0389,-82.8099
Blaine,MN,45.1608,-93.2291
Blandon,PA,40.4412,-75.8949
Bloomfield Hills,MI,42.5878,-83.2644
Bloomfield Township,MI,42.6003,-83.3002
Bloomington,IN,39.1653,-86.5264
Bloomington,MN,44.8404,-93.3122
Blue Bell,PA,40.1487,-75.2707
Boca Raton,FL,26.3587,-80.1013
Boise,ID,43.6150,-116.2023
Boody,IL,39.7553,-89.0065
Boonton,NJ,40.8987,-74.4179
Boothbay Harbor,ME,43.8509,-69.6267
Boring,OR,45.4354,-122.3809
Bossier City,LA,32.5185,-93.7324
Boston,MA,42.3601,-71.0589
Boulder,CO,40.0150,-105.2705
Boulder City,NV,35.9786,-114.8325
Boulder Creek,CA,37.1147,-122.1197
Bountiful,UT,40.8902,-111.8805
Bowling Green,MO,39.3403,-91.1965
Boynton Beach,FL,26.5245,-80.0667
Bozeman,MT,45.6770,-111.0429
Bradenton,FL,27.4989,-82.5748
Brandon,FL,27.9378,-82.2856
Brea,CA,33.9167,-117.9000
Breckenridge,CO,39.4817,-106.0384
Bremerton,WA,47.5675,-122.6336
Brentwood,CA,37.9316,-121.7002
Brewster,NY,41.3954,-73.6187
Briarcliff Manor,NY,41.1509,-73.8304
Bridgeport,NE,41.6764,-103.1066
Bridgewater,NJ,40.5901,-74.6346
Brielle,NJ,40.1165,-74.0496
Brighton,CO,40.0389,-104.8044
Brighton,MA,42.3482,-71.1465
Bristol,TN,36.5957,-82.1887
Broadview Heights,OH,41.3117,-81.6493
Brockport,NY,43.2167,-77.9333
Bronx,NY,40.8448,-73.8648
Brookeville,MD,39.1765,-77.0508
Brookfield,CT,41.4726,-73.4107
Brookfield,WI,43.0500,-88.1000
Brooklyn,NY,40.6782,-73.9442
Brooklyn Heights,OH,41.4206,-81.6493
Brooklyn Park,MN,45.0833,-93.35
Broomall,PA,39.9833,-75.3667
Broomfield,CO,39.92,-105.086
Brown Mills,NJ,40.0,-74.6333
Brownsburg,IN,39.8436,-86.3986
Bryn Mawr,PA,40.0264,-75.3139
Bryson City,NC,35.4289,-83.4497
Buchanan,MI,41.8361,-86.3597
Buffalo,NY,42.8803,-78.8786
Buffalo Grove,IL,42.1667,-87.9667
Buford,GA,34.1189,-83.99
Burke,VA,38.7889,-77.2806
